time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
18328.708031,0.112065,0,1,3,2,2,5,0,1,15,1,1,8,0.372935,0.485000
22131.635012,0.120843,1,0,55,3,2,5,0,0,9,1,1,0,0.364157,0.485000
17826.301031,0.191786,1,1,22,2,2,1,2,2,24,0,1,6,0.293214,0.485000
17830.198923,0.191786,1,1,13,2,2,1,2,2,25,0,1,6,0.293214,0.485000
16839.205532,0.258651,0,0,122,3,3,3,2,2,20,0,1,7,0.226349,0.485000
17840.285499,0.109429,0,1,14,2,2,4,2,0,3,1,1,6,0.375571,0.485000
17817.442083,0.365810,0,0,122,3,3,3,2,2,20,0,1,10,0.119190,0.485000
27839.635082,0.466937,1,1,81,2,0,4,1,0,4,1,0,0,0.018063,0.485000
17691.443656,0.110119,0,1,41,1,2,4,2,1,34,1,1,3,0.374881,0.485000
17433.725843,0.110119,0,1,41,0,2,4,2,1,34,1,1,3,0.374881,0.485000
31555.608549,0.138374,1,0,32,3,0,3,0,0,6,0,1,2,0.346626,0.485000
25727.792906,0.126960,1,1,32,0,0,3,0,0,6,0,1,2,0.358040,0.485000
31529.670329,0.138374,1,0,32,3,0,3,0,0,7,0,1,2,0.346626,0.485000
21878.279387,0.172708,0,0,248,2,2,2,1,1,18,1,0,10,0.312292,0.485000
24318.790936,0.404524,0,0,352,2,2,2,1,0,24,1,0,0,0.080476,0.485000
23942.768866,0.479238,1,1,644,3,1,1,1,0,18,0,0,8,0.005762,0.485000
22360.151665,0.119287,0,0,2,2,2,3,0,1,16,1,1,3,0.365713,0.485000
21177.889197,0.127330,0,1,212,3,1,3,2,1,19,1,1,1,0.357670,0.485000
14917.362715,0.390929,0,1,6,2,3,4,1,1,1,0,0,6,0.094071,0.485000
20014.886340,0.372857,0,1,6,2,2,4,1,1,1,0,0,5,0.112143,0.485000
17357.956453,0.153873,0,1,1,1,2,4,2,2,21,1,1,9,0.331127,0.485000
15110.366731,0.390929,0,1,6,2,3,2,1,1,1,0,0,6,0.094071,0.485000
12979.945662,0.103492,1,1,1,0,3,2,0,1,12,0,1,1,0.381508,0.485000
19786.271826,0.434286,0,1,108,2,2,3,2,2,25,1,0,3,0.050714,0.485000
33420.199528,0.471984,1,0,692,0,0,2,1,0,14,0,0,3,0.013016,0.485000
33779.798996,0.432048,0,0,1,2,0,1,0,2,22,1,0,3,0.052952,0.485000
33703.134369,0.442079,0,0,1,2,0,1,0,2,17,1,0,3,0.042921,0.485000
24503.056740,0.414048,0,1,437,0,1,4,0,0,7,0,0,10,0.070952,0.485000
33459.395310,0.442079,0,0,7,2,0,1,0,2,17,1,0,3,0.042921,0.485000
33983.762974,0.468571,0,0,4,2,0,1,0,1,17,1,0,3,0.016429,0.485000
33358.933639,0.464048,0,0,7,2,0,5,1,2,6,0,0,6,0.020952,0.485000
33433.627571,0.464048,0,0,13,2,0,5,1,2,6,0,0,5,0.020952,0.485000
13217.623830,0.104430,0,1,730,0,3,5,1,1,2,1,1,7,0.380570,0.485000
33655.795762,0.397238,0,0,7,2,0,3,1,2,32,0,0,6,0.087762,0.485000
18067.944981,0.202929,1,1,15,0,2,5,1,2,5,1,0,8,0.282071,0.485000
28506.257136,0.421714,0,0,15,3,1,4,2,1,13,0,0,10,0.063286,0.485000
28177.330594,0.431381,1,0,290,2,1,4,2,1,37,1,0,3,0.053619,0.485000
23657.758859,0.407238,1,0,290,2,2,4,2,1,40,1,0,3,0.077762,0.485000
15993.136054,0.101684,1,0,33,3,3,2,1,1,17,0,1,0,0.383316,0.485000
24905.204965,0.138374,0,1,892,2,0,4,2,1,18,1,1,7,0.346626,0.485000
23782.565535,0.409833,0,0,290,1,2,4,2,1,40,1,0,3,0.075167,0.485000
23792.347422,0.407238,1,0,290,2,2,5,2,1,40,1,0,3,0.077762,0.485000
23824.294525,0.397262,1,0,418,2,2,4,2,1,37,1,0,4,0.087738,0.485000
23777.900243,0.409833,1,0,30,2,2,4,2,1,40,1,0,3,0.075167,0.485000
