time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
26009.100293,0.169524,1,1,3,2,0,2,2,1,28,0,1,6,,0.315476,0.485000
31263.522468,0.478667,1,0,390,1,0,4,1,1,29,0,0,10,,0.006333,0.485000
34295.287128,0.458667,1,0,390,0,0,4,1,1,26,0,0,10,,0.026333,0.485000
30921.378382,0.466667,1,0,1,1,0,4,1,1,29,0,0,10,,0.018333,0.485000
23126.447850,0.048889,0,0,44,3,1,3,2,2,19,1,1,9,,0.436111,0.485000
29173.306785,0.088889,0,0,1,1,0,4,1,1,29,1,0,10,,0.396111,0.485000
15856.579248,0.398095,1,1,20,2,3,1,2,0,3,0,0,7,,0.086905,0.485000
29280.779845,0.474857,1,0,108,1,1,2,0,1,15,0,0,9,,0.010143,0.485000
20800.608602,0.332952,0,1,12,2,2,2,0,0,13,1,0,2,,0.152048,0.485000
24117.102688,0.131429,1,0,21,3,1,3,0,2,16,1,0,7,,0.353571,0.485000
29832.305352,0.429524,1,0,592,0,2,4,0,2,33,0,0,4,,0.055476,0.485000
32373.170903,0.430095,1,0,775,0,2,4,0,2,40,0,0,4,,0.054905,0.485000
23692.514517,0.059175,1,1,7,3,0,1,1,0,18,1,0,8,,0.425825,0.485000
27543.965508,0.360000,1,0,592,1,2,4,1,2,1,0,0,4,,0.125000,0.485000
30254.901461,0.153651,0,0,50,1,0,2,2,0,16,1,0,7,,0.331349,0.485000
17535.733335,0.211429,1,0,8,3,2,5,1,1,9,0,1,6,,0.273571,0.485000
29155.656427,0.068889,0,0,1,0,2,4,0,1,5,1,1,3,,0.416111,0.485000
18265.188162,0.017778,1,1,60,2,2,1,1,0,25,0,1,2,,0.467222,0.485000
