replay_index,replay_total,time_ms,acc,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
1,25,33732.999000,0.485000,0,0,0,0,0,0,0,0,0,0,0,0
2,25,33330.703000,0.464000,0,0,0,0,0,0,1,1,0,0,0,0
3,25,32694.034000,0.451000,0,0,0,0,0,0,2,2,0,0,0,0
4,25,29019.498000,0.456000,0,0,0,1,1,0,0,0,0,0,0,0
5,25,28572.251000,0.469000,0,0,0,1,1,0,1,1,0,0,0,0
6,25,28080.003000,0.418000,0,0,0,1,1,0,2,2,0,0,0,0
7,25,24270.762000,0.406000,0,0,0,2,2,0,0,0,0,0,0,0
8,25,23947.415000,0.404000,0,0,0,2,2,0,1,1,0,0,0,0
9,25,23505.124000,0.449000,0,0,0,2,2,0,2,2,0,0,0,0
10,25,17942.068000,0.379000,0,0,0,3,3,0,0,0,0,0,0,0
11,25,17688.032000,0.367000,0,0,0,3,3,0,1,1,0,0,0,0
12,25,17374.004000,0.366000,0,0,0,3,3,0,2,2,0,0,0,0
