time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
24831.013942,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
31721.135646,0.027083,0,0,0,0,0,0,2,2,0,1,1,0,0.352917,0.380000
23823.673521,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
26342.185001,0.014583,1,1,0,0,0,0,0,0,0,1,1,0,0.365417,0.380000
27626.239135,0.415556,1,1,0,0,0,0,1,1,0,0,0,0,0.000000,0.380000
23852.511454,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
23836.112071,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
23819.248678,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
23820.398961,0.368254,1,1,0,1,1,0,1,1,0,0,0,0,0.011746,0.380000
20046.723963,0.327282,1,1,0,2,2,0,1,1,0,0,0,0,0.052718,0.380000
19986.593721,0.327282,1,1,0,2,2,0,1,1,0,0,0,0,0.052718,0.380000
20026.003481,0.327282,1,1,0,2,2,0,1,1,0,0,0,0,0.052718,0.380000
24217.519668,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
24148.313668,0.352282,0,0,0,2,2,0,1,1,0,0,0,0,0.027718,0.380000
20005.418188,0.327282,1,1,0,2,2,0,1,1,0,0,0,0,0.052718,0.380000
19587.421917,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19566.772438,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19545.053423,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
17719.692481,0.030893,1,1,0,2,2,0,2,2,0,1,1,0,0.349107,0.380000
19534.677824,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19563.809768,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19590.899741,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
23752.583788,0.302361,0,0,0,2,2,0,2,2,0,0,0,0,0.077639,0.380000
17737.232102,0.030893,1,1,0,2,2,0,2,2,0,1,1,0,0.349107,0.380000
19582.810381,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19636.837973,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
19635.556419,0.292758,1,1,0,2,2,0,2,2,0,0,0,0,0.087242,0.380000
14603.767987,0.291369,1,1,0,3,3,0,2,2,0,0,0,0,0.088631,0.380000
33193.835542,0.016250,0,0,0,0,0,0,0,0,0,1,1,0,0.363750,0.380000
34050.888807,0.412778,0,0,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
31196.700706,0.027083,0,0,0,0,0,0,2,2,0,1,1,0,0.352917,0.380000
27084.686700,0.427778,1,1,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
33791.850485,0.425397,0,0,0,0,0,0,1,1,0,0,0,0,0.000000,0.380000
27140.778581,0.427778,1,1,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
27162.635237,0.427778,1,1,0,0,0,0,2,2,0,0,0,0,0.000000,0.380000
14979.327463,0.348359,1,1,0,3,3,0,1,1,0,0,0,0,0.031641,0.380000
22433.210250,0.036442,0,0,0,2,2,0,1,1,0,1,1,0,0.343558,0.380000
25840.161243,0.036250,1,1,0,0,0,0,1,1,0,1,1,0,0.343750,0.380000
15013.035828,0.348359,1,1,0,3,3,0,1,1,0,0,0,0,0.031641,0.380000
14942.403521,0.348359,1,1,0,3,3,0,1,1,0,0,0,0,0.031641,0.380000
14952.498483,0.348359,1,1,0,3,3,0,1,1,0,0,0,0,0.031641,0.380000
14994.410886,0.348359,1,1,0,3,3,0,1,1,0,0,0,0,0.031641,0.380000
18309.723529,0.042658,1,1,0,2,2,0,1,1,0,1,1,0,0.337342,0.380000
20040.876828,0.327282,1,1,0,2,2,0,1,1,0,0,0,0,0.052718,0.380000
