count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,2,2,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,0,0
0,0,0,1,1,0,2,2,0,0,0,0
0,0,0,2,2,0,0,0,0,0,0,0
0,0,0,2,2,0,1,1,0,0,0,0
0,0,0,2,2,0,2,2,0,0,0,0
0,0,0,3,3,0,0,0,0,0,0,0
0,0,0,3,3,0,1,1,0,0,0,0
0,0,0,3,3,0,2,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,2,2,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0
1,1,0,1,1,0,1,1,0,0,0,0
1,1,0,1,1,0,2,2,0,0,0,0
1,1,0,2,2,0,0,0,0,0,0,0
1,1,0,2,2,0,1,1,0,0,0,0
1,1,0,2,2,0,2,2,0,0,0,0
1,1,0,3,3,0,0,0,0,0,0,0
1,1,0,3,3,0,1,1,0,0,0,0
1,1,0,3,3,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
