idx,time_ms,accuracy,count_and_lower_words_decision_0,count_and_lower_words_decision_1,count_and_lower_words_threshold_0,lowering_corpus_decision_0,lowering_corpus_decision_1,lowering_corpus_threshold_0,score_term_over_docs_decision_0,score_term_over_docs_decision_1,score_term_over_docs_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,36243.434626,0.411460,0,0,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
2,29778.415779,0.411460,1,1,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
3,29343.900885,0.436794,1,1,0,0,0,0,1,1,0,0,0,0,0.048206,0.485000
4,28737.088270,0.369016,1,1,0,0,0,0,2,2,0,0,0,0,0.115984,0.485000
5,26057.221660,0.366984,1,1,0,1,1,0,0,0,0,0,0,0,0.118016,0.485000
6,25666.137682,0.392063,1,1,0,1,1,0,1,1,0,0,0,0,0.092937,0.485000
7,25108.457559,0.349143,1,1,0,1,1,0,2,2,0,0,0,0,0.135857,0.485000
8,22094.192002,0.355302,1,1,0,2,2,0,0,0,0,0,0,0,0.129698,0.485000
9,21886.816732,0.371714,1,1,0,2,2,0,1,1,0,0,0,0,0.113286,0.485000
10,21427.955253,0.359968,1,1,0,2,2,0,2,2,0,0,0,0,0.125032,0.485000
11,17124.321257,0.421238,1,1,0,3,3,0,0,0,0,0,0,0,0.063762,0.485000
12,16873.737988,0.390667,1,1,0,3,3,0,1,1,0,0,0,0,0.094333,0.485000
13,16553.073120,0.354000,1,1,0,3,3,0,2,2,0,0,0,0,0.131000,0.485000
14,35731.218241,0.411460,0,0,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
1,36266.430714,0.411460,0,0,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
2,29802.390876,0.411460,1,1,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
3,29348.316677,0.436794,1,1,0,0,0,0,1,1,0,0,0,0,0.048206,0.485000
4,28735.157982,0.369016,1,1,0,0,0,0,2,2,0,0,0,0,0.115984,0.485000
5,26065.014527,0.366984,1,1,0,1,1,0,0,0,0,0,0,0,0.118016,0.485000
6,25680.582044,0.392063,1,1,0,1,1,0,1,1,0,0,0,0,0.092937,0.485000
7,25112.819784,0.349143,1,1,0,1,1,0,2,2,0,0,0,0,0.135857,0.485000
8,22100.613842,0.355302,1,1,0,2,2,0,0,0,0,0,0,0,0.129698,0.485000
9,21902.565862,0.371714,1,1,0,2,2,0,1,1,0,0,0,0,0.113286,0.485000
10,21451.116579,0.359968,1,1,0,2,2,0,2,2,0,0,0,0,0.125032,0.485000
11,17123.946684,0.421238,1,1,0,3,3,0,0,0,0,0,0,0,0.063762,0.485000
12,16897.640003,0.390667,1,1,0,3,3,0,1,1,0,0,0,0,0.094333,0.485000
13,16551.555830,0.354000,1,1,0,3,3,0,2,2,0,0,0,0,0.131000,0.485000
14,35726.554796,0.411460,0,0,0,0,0,0,0,0,0,0,0,0,0.073540,0.485000
