time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0
9373.102999,0.400000,2,1,2,2,0,7,1,0,4
5722.869870,0.375198,2,2,2,2,0,7,1,0,4
4366.179469,0.030556,2,2,2,2,0,9,0,1,2
4848.693213,0.031250,0,1,1,0,2,1,0,1,0
6538.670169,0.480000,2,0,2,2,2,7,0,0,4
4425.775533,0.030556,2,2,2,2,0,7,1,1,5
6432.963722,0.375198,2,2,2,2,0,5,1,0,4
5575.659698,0.375198,2,2,1,2,0,7,1,0,4
5947.819589,0.455198,2,2,1,2,0,9,1,0,3
5676.191801,0.375198,2,2,1,2,0,6,1,0,4
5331.920696,0.255556,2,2,1,2,0,7,1,0,5
6079.039625,0.375198,2,2,1,1,0,7,1,0,4
6726.877051,0.425000,1,0,1,2,0,7,1,0,4
6429.200574,0.375198,2,2,1,2,0,5,1,0,4
6698.932972,0.375198,2,2,1,1,0,3,1,0,4
6271.679467,0.375198,2,2,4,1,1,9,1,0,4
8471.421139,0.469091,2,0,2,0,0,4,0,1,8
5334.703711,0.375198,2,2,1,2,0,10,1,0,4
5198.458472,0.375198,2,2,1,2,0,9,1,0,4
6456.670084,0.455198,1,2,1,2,0,8,1,0,3
6437.796012,0.375198,2,2,1,1,0,9,1,0,4
8730.855625,0.444091,0,1,5,2,1,2,0,0,5
6466.503659,0.292897,0,2,5,2,1,4,0,1,6
6352.782730,0.444091,2,1,5,2,1,2,0,0,5
6769.426258,0.444091,2,1,5,2,1,3,0,0,5
4453.307189,0.081250,2,0,1,2,0,10,0,1,3
6302.836046,0.444091,2,1,4,2,1,2,0,0,5
7014.730820,0.444091,1,1,4,2,1,2,0,0,4
5576.835488,0.301667,2,1,4,2,1,2,1,0,5
5225.721626,0.031250,0,1,2,1,1,2,1,1,2
6767.912244,0.444091,2,1,4,1,1,2,0,0,5
7614.366314,0.444091,2,1,4,2,0,2,0,0,7
5951.177100,0.455000,1,1,2,2,2,3,0,0,1
7476.003831,0.469091,1,0,3,1,1,10,1,0,0
6455.194254,0.031250,0,0,1,1,0,1,1,1,6
6353.792986,0.480198,0,2,5,2,2,6,0,1,10
5469.002378,0.316667,1,1,4,2,1,4,1,0,5
6595.525571,0.480198,1,2,2,2,1,3,0,0,1
6314.805138,0.250341,1,1,2,1,1,10,0,1,6
7232.831561,0.444091,1,1,2,0,1,3,0,0,1
7340.920193,0.469091,0,0,5,2,0,5,0,0,0
6520.779236,0.455000,1,1,2,2,2,2,0,0,1
8745.429627,0.484289,1,2,3,0,1,6,1,0,0
8556.435070,0.275341,1,0,2,1,0,1,0,1,6
6998.749360,0.484289,1,2,3,0,1,6,1,0,2
6627.751960,0.480198,1,2,3,2,0,6,1,0,2
6672.078072,0.455198,1,2,3,2,0,6,1,0,3
4826.953278,0.055556,1,2,3,2,0,6,1,1,2
6096.263865,0.286250,0,0,3,2,2,1,0,1,6
7514.879728,0.480198,1,2,3,2,0,10,1,0,2
6757.524343,0.455198,1,2,3,2,0,5,1,0,3
6866.414156,0.031250,1,1,1,0,0,1,0,1,0
7119.341603,0.469091,1,0,2,1,2,2,0,1,9
7434.329671,0.484289,1,2,3,1,0,6,1,0,2
7722.291451,0.480198,1,2,3,2,0,7,1,0,2
6968.244011,0.480198,0,2,3,2,0,6,1,0,2
4722.920428,0.255556,1,2,3,2,2,6,1,0,5
4441.175686,0.056250,0,0,3,2,1,8,1,1,9
6362.875903,0.480198,0,2,1,2,0,6,1,0,2
7325.692652,0.480198,2,2,1,2,0,6,1,0,2
7084.882637,0.480198,0,2,1,2,0,3,1,0,2
7785.593276,0.484289,0,2,1,0,0,1,1,0,2
7058.244828,0.484091,0,0,1,2,0,6,1,0,2
6588.626532,0.480198,0,2,5,2,0,8,1,0,2
9157.389947,0.484289,2,2,2,1,1,7,0,1,8
6318.361638,0.114646,2,2,5,1,1,7,0,1,4
4501.267589,0.056250,1,1,5,2,2,7,0,1,3
5903.805296,0.480198,2,2,1,2,1,7,0,1,9
6388.736261,0.480198,2,2,1,2,1,8,0,1,9
6485.357872,0.455000,1,1,5,2,2,5,0,0,10
5540.769802,0.005556,0,2,2,0,1,5,1,1,3
7284.398218,0.480198,2,2,1,2,2,7,0,1,8
6831.493639,0.480198,2,2,1,2,1,9,0,1,8
5980.954605,0.430000,0,1,2,2,2,10,1,0,3
7315.893086,0.480198,2,2,1,2,1,7,0,1,10
6594.215540,0.075000,2,2,1,0,0,1,1,0,7
8133.523544,0.444091,2,1,4,2,1,2,0,1,8
7695.877949,0.480198,1,2,1,2,1,7,0,1,9
6860.793065,0.255556,0,2,3,0,0,7,1,0,5
6032.484419,0.480198,2,2,1,2,1,7,0,1,8
5818.378509,0.480198,2,2,1,2,1,6,0,1,10
7588.536320,0.480198,2,2,1,2,1,6,0,1,9
6900.996327,0.480198,2,2,1,2,1,5,0,1,10
