time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
6548.029523,0.018393,1,0,4,1,1,1,1,0,8,0.441607,0.460000
8024.967371,0.447980,1,1,3,1,2,10,0,0,7,0.012020,0.460000
5333.466302,0.018393,0,1,2,1,1,9,0,1,1,0.441607,0.460000
7019.309710,0.472980,1,0,3,1,2,10,0,0,7,0.000000,0.460000
7762.487812,0.472980,2,0,3,1,2,10,0,0,7,0.000000,0.460000
8143.840161,0.493813,0,2,3,0,0,4,0,0,1,0.000000,0.460000
6645.273770,0.472980,1,0,4,1,2,10,0,0,7,0.000000,0.460000
7511.316446,0.472980,1,0,4,1,2,10,0,0,8,0.000000,0.460000
6961.846263,0.447980,1,1,4,1,2,10,0,0,8,0.012020,0.460000
7010.242704,0.472980,1,0,4,1,2,10,0,0,6,0.000000,0.460000
5725.004467,0.080000,1,0,4,1,2,10,1,0,7,0.380000,0.460000
6917.753648,0.018393,1,0,1,0,2,10,1,0,9,0.441607,0.460000
6874.398267,0.472980,1,0,4,1,2,8,0,0,7,0.000000,0.460000
6773.429219,0.472980,1,0,4,1,2,9,0,0,8,0.000000,0.460000
5583.232521,0.080000,1,0,4,1,1,10,1,0,7,0.380000,0.460000
6752.572829,0.018393,2,1,5,0,1,8,1,1,9,0.441607,0.460000
5784.860865,0.483889,1,0,5,2,2,10,0,0,7,0.000000,0.460000
7963.539554,0.483889,1,0,4,2,2,10,0,0,7,0.000000,0.460000
7981.046605,0.483889,1,0,5,2,1,10,0,0,7,0.000000,0.460000
7760.797604,0.483889,1,0,5,2,2,9,0,0,7,0.000000,0.460000
6016.481594,0.483889,1,0,5,2,2,10,0,0,6,0.000000,0.460000
7963.265000,0.483889,1,0,5,2,2,10,0,0,8,0.000000,0.460000
8030.208151,0.483889,1,0,5,2,2,8,0,0,6,0.000000,0.460000
6795.677227,0.483889,1,0,4,2,2,8,0,0,7,0.000000,0.460000
7203.614826,0.489722,1,2,4,2,0,4,0,0,6,0.000000,0.460000
5702.209335,0.345556,1,0,5,2,0,10,1,0,5,0.114444,0.460000
5164.141168,0.345556,1,0,5,2,2,9,1,0,5,0.114444,0.460000
5665.846470,0.345556,1,0,5,2,0,9,1,0,5,0.114444,0.460000
4247.862364,0.043393,1,0,5,2,2,9,1,0,8,0.416607,0.460000
7773.286462,0.489722,1,2,5,2,2,9,0,0,5,0.000000,0.460000
4360.982343,0.043393,1,0,5,2,2,9,1,1,8,0.416607,0.460000
4333.591856,0.043393,1,0,2,2,2,9,1,0,10,0.416607,0.460000
5296.551405,0.345556,1,0,5,2,2,3,1,0,5,0.114444,0.460000
5804.772483,0.345556,1,0,5,2,1,9,1,0,5,0.114444,0.460000
5824.363277,0.428889,1,0,5,2,2,9,1,0,4,0.031111,0.460000
5584.951342,0.345556,2,0,5,2,2,9,1,0,5,0.114444,0.460000
7305.460866,0.397282,2,1,1,2,2,7,0,1,7,0.062718,0.460000
6914.960753,0.447980,1,1,5,1,1,9,1,0,2,0.012020,0.460000
5329.314407,0.320556,1,1,5,2,2,9,1,0,5,0.139444,0.460000
5825.936359,0.345556,2,0,2,2,2,1,1,0,5,0.114444,0.460000
6851.444495,0.018393,0,0,4,0,0,1,0,1,1,0.441607,0.460000
4788.899041,0.250000,1,0,5,2,2,8,1,0,6,0.210000,0.460000
6123.817639,0.428889,1,0,5,2,2,10,1,0,4,0.031111,0.460000
7335.086364,0.483889,1,0,5,2,2,9,0,0,5,0.000000,0.460000
6331.934228,0.428889,1,0,5,2,2,8,1,0,4,0.031111,0.460000
7860.666422,0.493813,2,2,5,0,0,3,0,0,2,0.000000,0.460000
5324.651656,0.345556,1,0,5,2,2,10,1,0,5,0.114444,0.460000
6735.700358,0.330556,1,0,5,1,0,9,1,0,5,0.129444,0.460000
5334.097098,0.035556,1,2,5,1,1,7,0,1,3,0.424444,0.460000
5687.204005,0.345556,1,0,5,2,2,4,1,0,5,0.114444,0.460000
6903.959492,0.458889,1,0,5,2,2,8,1,0,3,0.001111,0.460000
7223.192255,0.241373,1,1,5,1,0,2,0,1,6,0.218627,0.460000
6229.572874,0.010556,0,2,4,0,0,7,1,1,10,0.449444,0.460000
5199.785815,0.345556,1,0,2,2,2,9,1,0,5,0.114444,0.460000
6059.453979,0.345556,1,0,4,2,2,9,1,0,5,0.114444,0.460000
7791.521876,0.181726,1,0,5,2,2,9,0,1,5,0.278274,0.460000
5937.580753,0.018393,1,1,1,2,2,10,1,0,8,0.441607,0.460000
8934.551335,0.413889,2,0,3,0,0,5,1,0,4,0.046111,0.460000
