time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
4973.280300,0.315214,0,5,5,1,0,8,0,0,2,,0.086786,0.402000
4730.050664,0.319817,1,5,5,2,1,2,0,0,2,,0.082183,0.402000
5785.527632,0.400095,4,0,3,2,2,8,0,0,0,,0.001905,0.402000
5090.227511,0.398976,5,3,5,2,2,10,0,0,1,,0.003024,0.402000
5008.091296,0.398976,5,3,5,2,2,10,0,0,4,,0.003024,0.402000
4183.191810,0.168389,1,1,2,0,1,5,1,1,5,,0.233611,0.402000
3478.697055,0.144859,4,4,2,0,0,4,0,1,1,,0.257141,0.402000
4981.517610,0.398976,4,3,5,2,2,10,0,0,4,,0.003024,0.402000
4973.338297,0.366357,4,4,5,2,2,10,0,0,4,,0.035643,0.402000
1907.677245,0.164556,4,4,5,2,2,10,1,0,8,,0.237444,0.402000
4765.640994,0.366357,3,4,4,2,2,10,0,0,4,,0.035643,0.402000
4544.737154,0.316960,3,5,4,2,2,9,0,0,4,,0.085040,0.402000
4736.643859,0.366357,3,4,5,2,2,10,0,0,4,,0.035643,0.402000
5044.560268,0.398976,3,3,5,2,2,10,0,0,4,,0.003024,0.402000
4779.941880,0.366357,3,4,5,2,2,10,0,0,3,,0.035643,0.402000
4749.800794,0.366357,3,4,5,2,1,10,0,0,5,,0.035643,0.402000
4533.613395,0.316960,3,5,5,2,2,10,0,0,4,,0.085040,0.402000
4440.175571,0.171636,1,4,5,0,0,7,0,1,4,,0.230364,0.402000
2588.407239,0.156016,3,3,3,1,1,7,1,1,1,,0.245984,0.402000
5063.466816,0.398976,5,3,5,2,2,9,0,0,4,,0.003024,0.402000
4793.389189,0.366357,3,4,5,2,2,9,0,0,4,,0.035643,0.402000
4492.466854,0.316960,2,5,5,2,2,10,0,0,4,,0.085040,0.402000
3539.412413,0.342913,3,4,5,2,2,10,1,0,4,,0.059087,0.402000
6992.966397,0.366619,1,2,5,0,0,2,0,0,0,,0.035381,0.402000
5220.564259,0.346262,2,2,3,1,2,3,0,1,7,,0.055738,0.402000
4804.296242,0.366357,3,4,5,2,1,10,0,0,4,,0.035643,0.402000
5034.406236,0.363024,3,4,5,2,0,8,0,0,3,,0.038976,0.402000
