time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,idx,qos_loss,exact_accuracy
3563.586011,0.222732,0,1,5,2,1,3,1,1,0,,0.179268,0.402000
4093.783140,0.369556,2,1,5,2,1,7,0,1,7,,0.032444,0.402000
6659.388615,0.467767,0,0,2,2,0,1,0,0,3,,0.000000,0.402000
6632.918807,0.467767,0,0,1,2,0,1,0,0,3,,0.000000,0.402000
6858.129359,0.481101,0,0,1,0,0,1,0,0,3,,0.000000,0.402000
6620.656061,0.467767,0,0,1,2,0,1,0,0,1,,0.000000,0.402000
4660.514915,0.315810,2,0,5,2,0,3,1,0,4,,0.086190,0.402000
4315.316588,0.354952,2,2,3,1,2,8,0,0,1,,0.047048,0.402000
2588.442957,0.185661,1,2,1,0,2,3,1,0,9,,0.216339,0.402000
6645.292688,0.467767,0,0,2,2,0,1,0,0,0,,0.000000,0.402000
5268.132743,0.467767,0,0,1,2,1,1,0,0,1,,0.000000,0.402000
4752.278123,0.467767,0,0,1,2,2,1,0,0,1,,0.000000,0.402000
2948.338529,0.222732,0,0,1,2,2,1,0,1,1,,0.179268,0.402000
4084.004556,0.397810,0,2,1,2,2,1,0,0,1,,0.004190,0.402000
3967.661473,0.404476,0,2,1,2,2,1,1,0,1,,0.000000,0.402000
3879.310229,0.396857,1,2,1,2,2,1,1,0,1,,0.005143,0.402000
5097.213474,0.394952,1,2,1,0,2,8,1,0,1,,0.007048,0.402000
2161.958139,0.187989,1,2,1,2,2,1,1,1,1,,0.214011,0.402000
3821.766601,0.384476,2,2,1,2,2,1,1,0,1,,0.017524,0.402000
3823.143254,0.384476,2,2,2,2,2,5,1,0,1,,0.017524,0.402000
5147.489369,0.360032,2,2,1,2,0,1,1,0,1,,0.041968,0.402000
4445.919607,0.436762,2,0,1,2,2,1,1,0,1,,0.000000,0.402000
2077.030914,0.187989,2,2,1,2,2,1,1,0,9,,0.214011,0.402000
2667.497056,0.158360,2,2,2,2,0,6,0,1,0,,0.243640,0.402000
4172.349869,0.419386,2,1,1,2,2,1,1,0,1,,0.000000,0.402000
3973.162507,0.384476,2,2,1,2,2,1,1,0,0,,0.017524,0.402000
4679.497593,0.448275,2,1,1,2,1,1,1,0,1,,0.000000,0.402000
3900.248890,0.391143,1,2,1,2,2,4,1,0,1,,0.010857,0.402000
3976.390900,0.384476,2,2,1,2,2,1,0,0,1,,0.017524,0.402000
4125.511591,0.377810,2,2,1,0,2,1,0,0,1,,0.024190,0.402000
4926.586893,0.467767,0,0,4,2,0,9,0,0,2,,0.000000,0.402000
4428.654522,0.438434,0,1,1,2,2,5,0,1,10,,0.000000,0.402000
3513.998316,0.203725,0,1,5,2,1,3,1,1,0,,0.198275,0.402000
4063.599673,0.355270,2,1,5,2,1,7,0,1,7,,0.046730,0.402000
6605.828372,0.467767,0,0,2,2,0,1,0,0,3,,0.000000,0.402000
6593.476227,0.467767,0,0,1,2,0,1,0,0,3,,0.000000,0.402000
6826.708563,0.481101,0,0,1,0,0,1,0,0,3,,0.000000,0.402000
6590.769184,0.467767,0,0,1,2,0,1,0,0,1,,0.000000,0.402000
4635.763362,0.311894,2,0,5,2,0,3,1,0,4,,0.090106,0.402000
4286.467929,0.340667,2,2,3,1,2,8,0,0,1,,0.061333,0.402000
2581.408560,0.195397,1,2,1,0,2,3,1,0,9,,0.206603,0.402000
6587.318364,0.467767,0,0,2,2,0,1,0,0,0,,0.000000,0.402000
6589.405877,0.467767,0,0,3,2,0,1,0,0,0,,0.000000,0.402000
4714.634787,0.203725,0,0,2,2,0,1,0,1,0,,0.198275,0.402000
2650.036652,0.171693,2,2,2,2,0,6,0,1,0,,0.230307,0.402000
6167.381080,0.422053,0,1,2,2,0,1,0,0,0,,0.000000,0.402000
5943.493005,0.432720,0,1,2,2,0,2,0,0,0,,0.000000,0.402000
5534.720576,0.411831,0,2,2,2,0,2,0,0,0,,0.000000,0.402000
5402.278438,0.406127,0,2,2,2,0,3,0,0,0,,0.000000,0.402000
4403.237398,0.332603,1,2,1,2,1,1,0,0,0,,0.069397,0.402000
5187.373436,0.380825,0,2,2,2,0,4,0,0,0,,0.021175,0.402000
5175.256872,0.366275,0,2,1,2,0,3,0,0,0,,0.035725,0.402000
5354.897642,0.416063,0,2,2,2,0,3,0,0,1,,0.000000,0.402000
5466.881122,0.434053,0,2,2,2,0,3,0,0,2,,0.000000,0.402000
5134.134343,0.395005,0,2,2,2,0,4,0,0,1,,0.006995,0.402000
5235.647594,0.385016,0,2,3,2,0,4,0,0,1,,0.016984,0.402000
5393.823525,0.379831,0,2,2,2,0,3,0,0,3,,0.022169,0.402000
5607.557744,0.389238,0,2,2,2,0,1,0,0,1,,0.012762,0.402000
