time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
4005.093832,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
4506.864567,0.074583,1,1,0,0,0,0,1,1,0,0.385417,0.460000
6133.396987,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5060.819800,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
3736.543644,0.080139,2,2,0,0,0,0,1,1,0,0.379861,0.460000
5946.533823,0.483889,0,0,0,2,2,0,0,0,0,0.000000,0.460000
5075.042582,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5103.985942,0.076806,0,0,0,0,0,0,1,1,0,0.383194,0.460000
5142.178087,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
2251.273477,0.071806,2,2,0,2,2,0,1,1,0,0.388194,0.460000
5061.652719,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5061.972383,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5123.091636,0.076806,0,0,0,0,0,0,1,1,0,0.383194,0.460000
5042.643627,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5065.248437,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5130.225892,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5076.762948,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5124.435091,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5107.732674,0.076806,0,0,0,0,0,0,1,1,0,0.383194,0.460000
6694.204008,0.488869,2,2,0,0,0,0,0,0,0,0.000000,0.460000
5128.079298,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5034.760535,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5166.716353,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5071.372122,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5070.184362,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5084.907155,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5113.260638,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5061.180769,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5041.417405,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5137.310825,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5050.593206,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5089.889054,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5040.830116,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5109.343031,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5648.318151,0.393095,1,1,0,2,2,0,0,0,0,0.066905,0.460000
5085.964849,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4508.955945,0.074583,1,1,0,0,0,0,1,1,0,0.385417,0.460000
5106.244585,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5107.340777,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
2690.268248,0.066250,1,1,0,2,2,0,1,1,0,0.393750,0.460000
2997.817398,0.076806,0,0,0,2,2,0,1,1,0,0.383194,0.460000
5059.559882,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5120.434797,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
2239.320678,0.071806,2,2,0,2,2,0,1,1,0,0.388194,0.460000
3190.496096,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
3604.714131,0.076806,0,0,0,1,1,0,1,1,0,0.383194,0.460000
5088.341437,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6535.883548,0.472980,0,0,0,1,1,0,0,0,0,0.000000,0.460000
2252.621330,0.071806,2,2,0,2,2,0,1,1,0,0.388194,0.460000
6573.428231,0.488869,2,2,0,0,0,0,0,0,0,0.000000,0.460000
5092.488857,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5096.792683,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
6152.110715,0.400063,1,1,0,1,1,0,0,0,0,0.059937,0.460000
2243.163626,0.071806,2,2,0,2,2,0,1,1,0,0.388194,0.460000
6141.816823,0.400063,1,1,0,1,1,0,0,0,0,0.059937,0.460000
6651.253820,0.488869,2,2,0,0,0,0,0,0,0,0.000000,0.460000
2677.064463,0.066250,1,1,0,2,2,0,1,1,0,0.393750,0.460000
6557.032100,0.472980,0,0,0,1,1,0,0,0,0,0.000000,0.460000
5550.317520,0.488869,2,2,0,1,1,0,0,0,0,0.000000,0.460000
5495.491584,0.488869,2,2,0,1,1,0,0,0,0,0.000000,0.460000
3198.754684,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
5099.906298,0.076806,0,0,0,0,0,0,1,1,0,0.383194,0.460000
5089.195763,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
3190.703588,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
5105.886770,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
5637.160962,0.393095,1,1,0,2,2,0,0,0,0,0.066905,0.460000
3189.343225,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
5083.080526,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
4563.810200,0.074583,1,1,0,0,0,0,1,1,0,0.385417,0.460000
5065.019079,0.499901,2,2,0,2,2,0,0,0,0,0.000000,0.460000
3194.806796,0.074583,1,1,0,1,1,0,1,1,0,0.385417,0.460000
2234.024306,0.071806,2,2,0,2,2,0,1,1,0,0.388194,0.460000
