idx,time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,6884.817197,0.402095,0,0,0,0,0,0,0,0,0,0.000000,0.402000
2,5309.732669,0.402095,0,0,0,1,1,0,0,0,0,0.000000,0.402000
3,4730.714600,0.399381,0,0,0,2,2,0,0,0,0,0.002619,0.402000
4,6421.513711,0.353714,1,1,0,0,0,0,0,0,0,0.048286,0.402000
5,5031.925770,0.353714,1,1,0,1,1,0,0,0,0,0.048286,0.402000
6,4492.645775,0.366714,1,1,0,2,2,0,0,0,0,0.035286,0.402000
7,5959.378207,0.368286,2,2,0,0,0,0,0,0,0,0.033714,0.402000
8,4712.047126,0.368286,2,2,0,1,1,0,0,0,0,0.033714,0.402000
9,4248.215114,0.390429,2,2,0,2,2,0,0,0,0,0.011571,0.402000
10,5489.450811,0.377929,3,3,0,0,0,0,0,0,0,0.024071,0.402000
11,4378.868816,0.377929,3,3,0,1,1,0,0,0,0,0.024071,0.402000
12,3986.282357,0.399452,3,3,0,2,2,0,0,0,0,0.002548,0.402000
13,5027.914667,0.359690,4,4,0,0,0,0,0,0,0,0.042310,0.402000
14,4055.584876,0.359690,4,4,0,1,1,0,0,0,0,0.042310,0.402000
15,3725.670303,0.366357,4,4,0,2,2,0,0,0,0,0.035643,0.402000
16,4545.908301,0.314738,5,5,0,0,0,0,0,0,0,0.087262,0.402000
17,3730.977972,0.314738,5,5,0,1,1,0,0,0,0,0.087262,0.402000
18,3456.809679,0.319817,5,5,0,2,2,0,0,0,0,0.082183,0.402000
19,6887.326385,0.402095,0,0,0,0,0,0,0,0,0,0.000000,0.402000
