idx,time_ms,accuracy,compute_similarities_with_state_decision_0,compute_similarities_with_state_decision_1,compute_similarities_with_state_threshold_0,parse_embedding_decision_0,parse_embedding_decision_1,parse_embedding_threshold_0,selector_kernel_decision_0,selector_kernel_decision_1,selector_kernel_threshold_0,qos_loss,exact_accuracy
1,8387.184585,0.486667,0,0,0,0,0,0,0,0,0,0.000000,0.402000
2,5326.170002,0.486667,0,0,0,1,1,0,0,0,0,0.000000,0.402000
3,4779.007853,0.446667,0,0,0,2,2,0,0,0,0,0.000000,0.402000
4,6150.580041,0.349524,1,1,0,0,0,0,0,0,0,0.052476,0.402000
5,4844.402630,0.349524,1,1,0,1,1,0,0,0,0,0.052476,0.402000
6,4345.290970,0.309524,1,1,0,2,2,0,0,0,0,0.092476,0.402000
7,5513.565312,0.362857,2,2,0,0,0,0,0,0,0,0.039143,0.402000
8,4384.859155,0.362857,2,2,0,1,1,0,0,0,0,0.039143,0.402000
9,4038.080855,0.382857,2,2,0,2,2,0,0,0,0,0.019143,0.402000
10,6863.907080,0.486667,0,0,0,0,0,0,0,0,0,0.000000,0.402000
